 # done by Task#3 of TABOO on 2017.02.06 time=16.02.48
# Time BP (kyrs) =     0.0000
# Load Mass (kg) =    0.000000E+00
# --------------------------------------------
#      lon (deg)      lat (deg)      geoid (m)
# --------------------------------------------
      317.00000       85.00000        0.08607
      319.00000       85.00000        0.07181
      321.00000       85.00000        0.05807
      323.00000       85.00000        0.04492
      325.00000       85.00000        0.03242
      327.00000       85.00000        0.02060
      329.00000       85.00000        0.00949
      331.00000       85.00000       -0.00089
      333.00000       85.00000       -0.01054
      335.00000       85.00000       -0.01948
      337.00000       85.00000       -0.02772
      339.00000       85.00000       -0.03530
      341.00000       85.00000       -0.04225
      343.00000       85.00000       -0.04861
      345.00000       85.00000       -0.05443
      347.00000       85.00000       -0.05974
      349.00000       85.00000       -0.06460
      351.00000       85.00000       -0.06904
      353.00000       85.00000       -0.07311
      355.00000       85.00000       -0.07684
      357.00000       85.00000       -0.08027
      359.00000       85.00000       -0.08343
        1.00000       83.00000       -0.08678
        3.00000       83.00000       -0.08919
        5.00000       83.00000       -0.09147
        7.00000       83.00000       -0.09363
        9.00000       83.00000       -0.09564
       11.00000       83.00000       -0.09750
       13.00000       83.00000       -0.09919
       15.00000       83.00000       -0.10070
       17.00000       83.00000       -0.10201
       19.00000       83.00000       -0.10311
       21.00000       83.00000       -0.10401
       23.00000       83.00000       -0.10470
       25.00000       83.00000       -0.10521
       27.00000       83.00000       -0.10553
       29.00000       83.00000       -0.10571
       31.00000       83.00000       -0.10576
       33.00000       83.00000       -0.10571
       35.00000       83.00000       -0.10559
       37.00000       83.00000       -0.10542
       39.00000       83.00000       -0.10522
       41.00000       83.00000       -0.10501
       43.00000       83.00000       -0.10479
       45.00000       83.00000       -0.10458
       47.00000       83.00000       -0.10437
       49.00000       83.00000       -0.10417
       51.00000       83.00000       -0.10398
       53.00000       83.00000       -0.10379
       55.00000       83.00000       -0.10360
       57.00000       83.00000       -0.10341
       59.00000       83.00000       -0.10321
       61.00000       83.00000       -0.10301
       63.00000       83.00000       -0.10280
       65.00000       83.00000       -0.10259
       67.00000       83.00000       -0.10239
       69.00000       83.00000       -0.10218
       71.00000       83.00000       -0.10200
       73.00000       83.00000       -0.10183
       75.00000       83.00000       -0.10169
       77.00000       83.00000       -0.10157
       79.00000       83.00000       -0.10149
       81.00000       83.00000       -0.10144
       83.00000       83.00000       -0.10142
       85.00000       83.00000       -0.10143
       87.00000       83.00000       -0.10145
       89.00000       83.00000       -0.10148
       91.00000       83.00000       -0.10151
