 # done by Task#3 of TABOO on 2017.02.06 time=16.02.48
# Time BP (kyrs) =     0.0000
# Load Mass (kg) =    0.000000E+00
# --------------------------------------------
#      lon (deg)      lat (deg)      u_lat (m)
# --------------------------------------------
      289.00000       83.00000        2.68951
      291.00000       83.00000        2.67606
      293.00000       83.00000        2.64028
      295.00000       83.00000        2.57934
      297.00000       83.00000        2.49166
      299.00000       83.00000        2.37706
      301.00000       83.00000        2.23677
      303.00000       83.00000        2.07336
      305.00000       83.00000        1.89062
      307.00000       83.00000        1.69327
      309.00000       83.00000        1.48668
      311.00000       83.00000        1.27655
      313.00000       83.00000        1.06853
      315.00000       83.00000        0.86793
      317.00000       83.00000        0.67944
      319.00000       83.00000        0.50688
      321.00000       83.00000        0.35309
      323.00000       83.00000        0.21984
      325.00000       83.00000        0.10789
      327.00000       83.00000        0.01705
      329.00000       83.00000       -0.05366
      331.00000       83.00000       -0.10584
      333.00000       83.00000       -0.14153
      335.00000       83.00000       -0.16303
      337.00000       83.00000       -0.17277
      339.00000       83.00000       -0.17319
      341.00000       83.00000       -0.16665
      343.00000       83.00000       -0.15534
      345.00000       83.00000       -0.14121
      347.00000       83.00000       -0.12594
      349.00000       83.00000       -0.11087
      351.00000       83.00000       -0.09702
      353.00000       83.00000       -0.08504
      355.00000       83.00000       -0.07529
      357.00000       83.00000       -0.06783
      359.00000       83.00000       -0.06251
        1.00000       81.00000       -0.07865
        3.00000       81.00000       -0.08076
        5.00000       81.00000       -0.08349
        7.00000       81.00000       -0.08598
        9.00000       81.00000       -0.08718
       11.00000       81.00000       -0.08593
       13.00000       81.00000       -0.08106
       15.00000       81.00000       -0.07156
       17.00000       81.00000       -0.05675
       19.00000       81.00000       -0.03639
       21.00000       81.00000       -0.01076
       23.00000       81.00000        0.01937
       25.00000       81.00000        0.05287
       27.00000       81.00000        0.08840
       29.00000       81.00000        0.12461
       31.00000       81.00000        0.16030
       33.00000       81.00000        0.19453
       35.00000       81.00000        0.22669
       37.00000       81.00000        0.25648
       39.00000       81.00000        0.28386
       41.00000       81.00000        0.30896
       43.00000       81.00000        0.33206
       45.00000       81.00000        0.35344
       47.00000       81.00000        0.37343
       49.00000       81.00000        0.39231
       51.00000       81.00000        0.41034
       53.00000       81.00000        0.42779
       55.00000       81.00000        0.44486
       57.00000       81.00000        0.46178
       59.00000       81.00000        0.47874
       61.00000       81.00000        0.49587
       63.00000       81.00000        0.51326
       65.00000       81.00000        0.53089
       67.00000       81.00000        0.54867
       69.00000       81.00000        0.56638
       71.00000       81.00000        0.58370
       73.00000       81.00000        0.60024
       75.00000       81.00000        0.61555
       77.00000       81.00000        0.62914
       79.00000       81.00000        0.64056
       81.00000       81.00000        0.64940
       83.00000       81.00000        0.65538
       85.00000       81.00000        0.65841
       87.00000       81.00000        0.65860
       89.00000       81.00000        0.65630
       91.00000       81.00000        0.65211
       93.00000       81.00000        0.64679
       95.00000       81.00000        0.64118
       97.00000       81.00000        0.63607
       99.00000       81.00000        0.63206
      101.00000       81.00000        0.62951
      103.00000       81.00000        0.62841
      105.00000       81.00000        0.62844
      107.00000       81.00000        0.62903
      109.00000       81.00000        0.62943
      111.00000       81.00000        0.62886
      113.00000       81.00000        0.62660
      115.00000       81.00000        0.62211
      117.00000       81.00000        0.61505
      119.00000       81.00000        0.60529
      121.00000       81.00000        0.59292
      123.00000       81.00000        0.57817
      125.00000       81.00000        0.56137
      127.00000       81.00000        0.54293
      129.00000       81.00000        0.52327
      131.00000       81.00000        0.50278
      133.00000       81.00000        0.48183
      135.00000       81.00000        0.46073
      137.00000       81.00000        0.43972
      139.00000       81.00000        0.41898
      141.00000       81.00000        0.39861
      143.00000       81.00000        0.37866
      145.00000       81.00000        0.35911
      147.00000       81.00000        0.33991
      149.00000       81.00000        0.32098
      151.00000       81.00000        0.30223
      153.00000       81.00000        0.28359
      155.00000       81.00000        0.26503
      157.00000       81.00000        0.24657
      159.00000       81.00000        0.22832
      161.00000       81.00000        0.21040
      163.00000       81.00000        0.19302
      165.00000       81.00000        0.17637
      167.00000       81.00000        0.16063
      169.00000       81.00000        0.14593
      171.00000       81.00000        0.13231
      173.00000       81.00000        0.11978
      175.00000       81.00000        0.10828
      177.00000       81.00000        0.09775
      179.00000       81.00000        0.08813
      181.00000       81.00000        0.07937
      183.00000       81.00000        0.07143
      185.00000       81.00000        0.06422
      187.00000       81.00000        0.05765
      189.00000       81.00000        0.05167
      191.00000       81.00000        0.04628
      193.00000       81.00000        0.04169
      195.00000       81.00000        0.03842
      197.00000       81.00000        0.03738
      199.00000       81.00000        0.03991
      201.00000       81.00000        0.04791
      203.00000       81.00000        0.06378
      205.00000       81.00000        0.09044
      207.00000       81.00000        0.13130
      209.00000       81.00000        0.19002
      211.00000       81.00000        0.27024
      213.00000       81.00000        0.37508
      215.00000       81.00000        0.50653
      217.00000       81.00000        0.66476
      219.00000       81.00000        0.84749
      221.00000       81.00000        1.04954
