 # done by Task#3 of TABOO on 2017.02.06 time=16.02.48
# Time BP (kyrs) =     0.0000
# Load Mass (kg) =    0.000000E+00
# --------------------------------------------
#      lon (deg)      lat (deg)      u_rad (m)
# --------------------------------------------
      339.00000       83.00000       -1.73573
      341.00000       83.00000       -1.68509
      343.00000       83.00000       -1.61448
      345.00000       83.00000       -1.53213
      347.00000       83.00000       -1.44522
      349.00000       83.00000       -1.35973
      351.00000       83.00000       -1.28032
      353.00000       83.00000       -1.21034
      355.00000       83.00000       -1.15186
      357.00000       83.00000       -1.10580
      359.00000       83.00000       -1.07213
        1.00000       81.00000       -1.04649
        3.00000       81.00000       -1.08735
        5.00000       81.00000       -1.14845
        7.00000       81.00000       -1.22340
        9.00000       81.00000       -1.30507
       11.00000       81.00000       -1.38591
       13.00000       81.00000       -1.45843
       15.00000       81.00000       -1.51577
       17.00000       81.00000       -1.55249
       19.00000       81.00000       -1.56510
       21.00000       81.00000       -1.55247
       23.00000       81.00000       -1.51581
       25.00000       81.00000       -1.45844
       27.00000       81.00000       -1.38518
       29.00000       81.00000       -1.30163
       31.00000       81.00000       -1.21343
       33.00000       81.00000       -1.12563
       35.00000       81.00000       -1.04229
       37.00000       81.00000       -0.96622
       39.00000       81.00000       -0.89899
       41.00000       81.00000       -0.84111
       43.00000       81.00000       -0.79223
       45.00000       81.00000       -0.75139
       47.00000       81.00000       -0.71729
       49.00000       81.00000       -0.68847
       51.00000       81.00000       -0.66343
       53.00000       81.00000       -0.64076
       55.00000       81.00000       -0.61917
       57.00000       81.00000       -0.59756
       59.00000       81.00000       -0.57505
       61.00000       81.00000       -0.55105
       63.00000       81.00000       -0.52527
       65.00000       81.00000       -0.49777
       67.00000       81.00000       -0.46898
       69.00000       81.00000       -0.43967
       71.00000       81.00000       -0.41093
       73.00000       81.00000       -0.38409
       75.00000       81.00000       -0.36059
       77.00000       81.00000       -0.34185
       79.00000       81.00000       -0.32910
       81.00000       81.00000       -0.32319
       83.00000       81.00000       -0.32440
       85.00000       81.00000       -0.33228
       87.00000       81.00000       -0.34557
       89.00000       81.00000       -0.36221
       91.00000       81.00000       -0.37952
       93.00000       81.00000       -0.39452
       95.00000       81.00000       -0.40429
       97.00000       81.00000       -0.40648
       99.00000       81.00000       -0.39966
      101.00000       81.00000       -0.38364
      103.00000       81.00000       -0.35948
      105.00000       81.00000       -0.32937
      107.00000       81.00000       -0.29631
      109.00000       81.00000       -0.26363
      111.00000       81.00000       -0.23456
      113.00000       81.00000       -0.21181
      115.00000       81.00000       -0.19729
      117.00000       81.00000       -0.19203
      119.00000       81.00000       -0.19617
      121.00000       81.00000       -0.20913
      123.00000       81.00000       -0.22977
      125.00000       81.00000       -0.25661
      127.00000       81.00000       -0.28804
      129.00000       81.00000       -0.32244
      131.00000       81.00000       -0.35836
      133.00000       81.00000       -0.39454
