 # done by Task#3 of TABOO on 2017.02.06 time=15.50.26
# Time BP (kyrs) =     0.0000
# Load Mass (kg) =    0.000000E+00
# --------------------------------------------
#      lon (deg)      lat (deg)      u_lon (m)
# --------------------------------------------
      133.00000       81.00000        0.33430
      135.00000       81.00000        0.34018
      137.00000       81.00000        0.34496
      139.00000       81.00000        0.34862
      141.00000       81.00000        0.35117
      143.00000       81.00000        0.35262
      145.00000       81.00000        0.35297
      147.00000       81.00000        0.35222
      149.00000       81.00000        0.35037
      151.00000       81.00000        0.34739
      153.00000       81.00000        0.34327
      155.00000       81.00000        0.33797
      157.00000       81.00000        0.33149
      159.00000       81.00000        0.32388
      161.00000       81.00000        0.31523
      163.00000       81.00000        0.30571
      165.00000       81.00000        0.29550
      167.00000       81.00000        0.28483
      169.00000       81.00000        0.27385
      171.00000       81.00000        0.26268
      173.00000       81.00000        0.25132
      175.00000       81.00000        0.23971
      177.00000       81.00000        0.22775
      179.00000       81.00000        0.21531
      181.00000       81.00000        0.20226
      183.00000       81.00000        0.18836
      185.00000       81.00000        0.17322
      187.00000       81.00000        0.15605
