 ########################################
 #     RECTANGULAR load of type 50       
 #   degree,  order, & load (kg/m**2)    
  25   24 -.22135823E-33 0.38340370E-33
  25   25 0.26830243E-35 0.18786739E-35
  26    0 -.71623945E+03 0.00000000E+00
  26    1 -.27890184E+01 0.31878626E+02
  26    2 -.14261845E+01 -.25147480E+00
  26    3 -.94920573E-02 0.35424840E-01
  26    4 -.39895264E-03 -.14520689E-03
  26    5 -.16383903E-05 0.35135394E-05
  26    6 -.18017723E-06 -.10402537E-06
  26    7 0.15095254E-07 -.21558257E-07
  26    8 -.99477638E-09 -.83471649E-09
  26    9 -.17686358E-10 0.17686358E-10
  26   10 0.19777912E-12 0.23570397E-12
  26   11 -.47338278E-13 0.33146619E-13
  26   12 0.36651607E-14 0.63482445E-14
  26   13 0.36529110E-15 -.17033804E-15
  26   14 -.41384105E-17 -.11370189E-16
  26   15 -.13155198E-18 0.35249247E-19
  26   16 -.91522177E-21 -.51904806E-20
  26   17 -.33043955E-21 0.28909715E-22
  26   18 0.00000000E+00 0.96897155E-23
  26   19 0.17422068E-24 0.15242334E-25
  26   20 0.25945571E-27 -.14714464E-26
  26   21 0.20895978E-28 0.55990605E-29
  26   22 0.39396194E-30 -.10824015E-29
  26   23 -.23069903E-31 -.10757672E-31
  26   24 -.17830012E-33 0.30882486E-33
  26   25 0.21857064E-35 0.15304481E-35
  26   26 -.10311236E-37 0.12288452E-37
  27    0 -.38182711E+03 0.00000000E+00
  27    1 -.44114448E+01 0.50423045E+02
  27    2 -.58174051E+00 -.10257655E+00
  27    3 -.11127852E-01 0.41529711E-01
  27    4 0.40550736E-04 0.14759261E-04
  27    5 -.13314767E-05 0.28553610E-05
  27    6 -.36806532E-06 -.21250261E-06
  27    7 0.56234745E-08 -.80311539E-08
  27    8 -.84003713E-09 -.70487484E-09
  27    9 -.16930102E-10 0.16930102E-10
  27   10 0.11352805E-12 0.13529746E-12
  27   11 -.21661940E-13 0.15167854E-13
  27   12 0.18243185E-14 0.31598124E-14
  27   13 0.20105117E-15 -.93751702E-16
  27   14 -.24636310E-17 -.67687705E-17
  27   15 -.83146394E-19 0.22279009E-19
  27   16 -.60618093E-21 -.34378229E-20
  27   17 -.22725450E-21 0.19882193E-22
  27   18 0.00000000E+00 0.68738233E-23
  27   19 0.12685615E-24 0.11098475E-25
  27   20 0.19317876E-27 -.10955712E-26
  27   21 0.15861958E-28 0.42501988E-29
  27   22 0.30416985E-30 -.83569980E-30
  27   23 -.18081556E-31 -.84315683E-32
  27   24 -.14163639E-33 0.24532142E-33
  27   25 0.17573788E-35 0.12305299E-35
  27   26 -.83818551E-38 0.99891060E-38
  27   27 0.53085057E-39 0.53085057E-39
  28    0 0.51468606E+02 0.00000000E+00
  28    1 -.45057163E+01 0.51500573E+02
  28    2 0.28497592E+00 0.50248943E-01
  28    3 -.92858974E-02 0.34655441E-01
  28    4 0.35960214E-03 0.13088447E-03
  28    5 -.76708351E-06 0.16450159E-05
  28    6 -.41572507E-06 -.24001898E-06
  28    7 -.26987206E-08 0.38541724E-08
  28    8 -.55282490E-09 -.46387517E-09
  28    9 -.15517389E-10 0.15517389E-10
  28   10 0.89819328E-13 0.10704251E-12
  28   11 -.10683299E-13 0.74805265E-14
  28   12 0.86108749E-15 0.14914473E-14
  28   13 0.10443522E-15 -.48698945E-16
  28   14 -.13982435E-17 -.38416423E-17
  28   15 -.50546358E-19 0.13543856E-19
  28   16 -.38867828E-21 -.22043041E-20
  28   17 -.15201665E-21 0.13299734E-22
  28   18 0.00000000E+00 0.47595650E-23
  28   19 0.90400479E-25 0.79090171E-26
  28   20 0.14106481E-27 -.80001831E-27
  28   21 0.11829057E-28 0.31695863E-29
  28   22 0.23103668E-30 -.63476806E-30
  28   23 -.13958293E-31 -.65088589E-32
  28   24 -.11092539E-33 0.19212841E-33
  28   25 0.13942404E-35 0.97625762E-36
  28   26 -.67279947E-38 0.80181118E-38
  28   27 0.43065347E-39 0.43065347E-39
  28   28 0.88871589E-41 -.74572118E-41
  29    0 0.42013203E+03 0.00000000E+00
  29    1 -.32320618E+01 0.36942636E+02
  29    2 0.88053340E+00 0.15526180E+00
  29    3 -.53007188E-02 0.19782552E-01
  29    4 0.48969991E-03 0.17823619E-03
  29    5 -.17982433E-06 0.38563451E-06
  29    6 -.34708756E-06 -.20039109E-06
  29    7 -.77767822E-08 0.11106396E-07
  29    8 -.23730213E-09 -.19912013E-09
  29    9 -.12256037E-10 0.12256037E-10
  29   10 0.81122965E-13 0.96678585E-13
  29   11 -.67025332E-14 0.46931643E-14
  29   12 0.40472859E-15 0.70101047E-15
  29   13 0.51248569E-16 -.23897600E-16
  29   14 -.75306896E-18 -.20690400E-17
  29   15 -.29435270E-19 0.78871569E-20
  29   16 -.24053727E-21 -.13641546E-20
  29   17 -.98690835E-22 0.86343293E-23
  29   18 0.00000000E+00 0.32115649E-23
  29   19 0.62972468E-25 0.55093770E-26
  29   20 0.10093415E-27 -.57242602E-27
  29   21 0.86602269E-29 0.23205008E-29
  29   22 0.17254466E-30 -.47406257E-30
  29   23 -.10608122E-31 -.49466486E-32
  29   24 -.85617404E-34 0.14829369E-33
  29   25 0.10911418E-35 0.76402568E-36
  29   26 -.53314340E-38 0.63537556E-38
  29   27 0.34513913E-39 0.34513913E-39
  29   28 0.71961876E-41 -.60383184E-41
  29   29 -.65678844E-43 -.93799110E-43
  30    0 0.59747380E+03 0.00000000E+00
  30    1 -.12555061E+01 0.14350501E+02
  30    2 0.10607330E+01 0.18703585E+00
  30    3 -.97634419E-03 0.36437661E-02
  30    4 0.44276966E-03 0.16115498E-03
  30    5 0.25178757E-06 -.53996018E-06
  30    6 -.21688188E-06 -.12521681E-06
  30    7 -.92155128E-08 0.13161116E-07
  30    8 0.17506857E-10 0.14689997E-10
  30    9 -.79002563E-11 0.79002563E-11
  30   10 0.69631805E-13 0.82983953E-13
  30   11 -.53914600E-14 0.37751409E-14
  30   12 0.21348605E-15 0.36976868E-15
  30   13 0.24214890E-16 -.11291589E-16
  30   14 -.38389703E-18 -.10547484E-17
  30   15 -.16348246E-19 0.43804994E-20
  30   16 -.14316802E-21 -.81194616E-21
  30   17 -.62021128E-22 0.54261456E-23
  30   18 0.00000000E+00 0.21077357E-23
  30   19 0.42818493E-25 0.37461327E-26
  30   20 0.70688054E-28 -.40089187E-27
  30   21 0.62191223E-29 0.16664088E-29
  30   22 0.12661672E-30 -.34787657E-30
  30   23 -.79327934E-32 -.36991223E-32
  30   24 -.65100548E-34 0.11275746E-33
  30   25 0.84206842E-36 0.58962266E-36
  30   26 -.41695997E-38 0.49691355E-38
  30   27 0.27319467E-39 0.27319467E-39
  30   28 0.57588210E-41 -.48322245E-41
  30   29 -.53088565E-43 -.75818328E-43
  30   30 -.56779472E-45 0.32781643E-45
  31    0 0.54548794E+03 0.00000000E+00
  31    1 0.58129679E+00 -.66442527E+01
  31    2 0.86195252E+00 0.15198549E+00
  31    3 0.21774105E-02 -.81262066E-02
  31    4 0.28699962E-03 0.10445932E-03
  31    5 0.45081738E-06 -.96678100E-06
  31    6 -.82304552E-07 -.47518555E-07
  31    7 -.78691952E-08 0.11238375E-07
  31    8 0.16768981E-09 0.14070846E-09
  31    9 -.36672310E-11 0.36672310E-11
  31   10 0.52574775E-13 0.62656177E-13
  31   11 -.46781776E-14 0.32756952E-14
  31   12 0.14278663E-15 0.24731370E-15
  31   13 0.11741707E-16 -.54752477E-17
  31   14 -.18626456E-18 -.51175767E-18
  31   15 -.86270558E-20 0.23116126E-20
  31   16 -.81631690E-22 -.46295632E-21
  31   17 -.37614054E-22 0.32908033E-23
  31   18 0.00000000E+00 0.13424025E-23
  31   19 0.28371494E-25 0.24821841E-26
  31   20 0.48393863E-28 -.27445523E-27
  31   21 0.43764788E-29 0.11726740E-29
  31   22 0.91225698E-31 -.25064055E-30
  31   23 -.58335316E-32 -.27202205E-32
  31   24 -.48740176E-34 0.84420462E-34
  31   25 0.64056727E-36 0.44853003E-36
  31   26 -.32173373E-38 0.38342733E-38
  31   27 0.21352417E-39 0.21352417E-39
  31   28 0.45536698E-41 -.38209827E-41
  31   29 -.42426465E-43 -.60591271E-43
  31   30 -.45819467E-45 0.26453881E-45
  31   31 -.48557133E-48 -.10413111E-47
  32    0 0.32514166E+03 0.00000000E+00
  32    1 0.16252576E+01 -.18576779E+02
  32    2 0.45582484E+00 0.80374218E-01
  32    3 0.34408817E-02 -.12841545E-01
  32    4 0.10838962E-03 0.39450595E-04
  32    5 0.43880682E-06 -.94102426E-06
  32    6 0.16689793E-07 0.96358567E-08
  32    7 -.51354569E-08 0.73341925E-08
  32    8 0.21415501E-09 0.17969739E-09
  32    9 -.46055385E-12 0.46055385E-12
  32   10 0.33344784E-13 0.39738766E-13
  32   11 -.38321649E-14 0.26833108E-14
  32   12 0.11549414E-15 0.20004172E-15
  32   13 0.65887469E-17 -.30723831E-17
  32   14 -.88530228E-19 -.24323480E-18
  32   15 -.43243560E-20 0.11587077E-20
  32   16 -.44411121E-22 -.25186798E-21
  32   17 -.21937212E-22 0.19192574E-23
  32   18 0.00000000E+00 0.82748322E-24
  32   19 0.18282789E-25 0.15995368E-26
  32   20 0.32338815E-28 -.18340253E-27
  32   21 0.30145468E-29 0.80774539E-30
  32   22 0.64475614E-31 -.17714529E-30
  32   23 -.42155191E-32 -.19657288E-32
  32   24 -.35910901E-34 0.62199506E-34
  32   25 0.48010529E-36 0.33617334E-36
  32   26 -.24484429E-38 0.29179406E-38
  32   27 0.16473522E-39 0.16473522E-39
  32   28 0.35569438E-41 -.29846303E-41
  32   29 -.33515237E-43 -.47864720E-43
  32   30 -.36570165E-45 0.21113794E-45
  32   31 -.39123516E-48 -.83900650E-48
  32   32 -.77623359E-49 0.28252592E-49
  33    0 0.62169929E+02 0.00000000E+00
  33    1 0.16603383E+01 -.18977754E+02
  33    2 0.57018563E-01 0.10053911E-01
  33    3 0.29776536E-02 -.11112754E-01
  33    4 -.24558448E-04 -.89385439E-05
  33    5 0.29941533E-06 -.64209825E-06
  33    6 0.64887091E-07 0.37462579E-07
  33    7 -.23236787E-08 0.33185570E-08
  33    8 0.18668371E-09 0.15664623E-09
  33    9 0.13760303E-11 -.13760303E-11
  33   10 0.16212562E-13 0.19321379E-13
  33   11 -.27946119E-14 0.19568083E-14
  33   12 0.97031300E-16 0.16806314E-15
  33   13 0.46170053E-17 -.21529449E-17
  33   14 -.44486129E-19 -.12222464E-18
  33   15 -.20816357E-20 0.55777260E-21
  33   16 -.22993425E-22 -.13040219E-21
  33   17 -.12257038E-22 0.10723519E-23
  33   18 0.00000000E+00 0.49215504E-24
  33   19 0.11431419E-25 0.10001195E-26
  33   20 0.21056629E-28 -.11941808E-27
  33   21 0.20297591E-29 0.54387233E-30
  33   22 0.44656095E-31 -.12269161E-30
  33   23 -.29911282E-32 -.13947860E-32
  33   24 -.26020978E-34 0.45069657E-34
  33   25 0.35435431E-36 0.24812156E-36
  33   26 -.18369236E-38 0.21891603E-38
  33   27 0.12541213E-39 0.12541213E-39
  33   28 0.27438158E-41 -.23023349E-41
  33   29 -.26164547E-43 -.37366845E-43
  33   30 -.28862567E-45 0.16663811E-45
  33   31 -.31188094E-48 -.66883083E-48
  33   32 -.62451465E-49 0.22730474E-49
  33   33 0.30396436E-51 0.11344104E-50
  34    0 -.11435507E+03 0.00000000E+00
  34    1 0.94133306E+00 -.10759486E+02
  34    2 -.17151816E+00 -.30243279E-01
  34    3 0.15691653E-02 -.58562048E-02
  34    4 -.80929562E-04 -.29455952E-04
