 # done by Task#3 of TABOO on 2017.02.06 time=15.50.26
# Time BP (kyrs) =     0.0000
# Load Mass (kg) =    0.000000E+00
# --------------------------------------------
#      lon (deg)      lat (deg)      u_rad (m)
# --------------------------------------------
      213.00000       83.00000       -1.05117
      215.00000       83.00000       -0.67876
      217.00000       83.00000       -0.22446
      219.00000       83.00000        0.31570
      221.00000       83.00000        0.94339
      223.00000       83.00000        1.65757
      225.00000       83.00000        2.45419
      227.00000       83.00000        3.32606
      229.00000       83.00000        4.26295
      231.00000       83.00000        5.25194
      233.00000       83.00000        6.27785
      235.00000       83.00000        7.32397
      237.00000       83.00000        8.37276
      239.00000       83.00000        9.40674
      241.00000       83.00000       10.40925
      243.00000       83.00000       11.36518
      245.00000       83.00000       12.26165
      247.00000       83.00000       13.08840
      249.00000       83.00000       13.83805
      251.00000       83.00000       14.50621
      253.00000       83.00000       15.09126
      255.00000       83.00000       15.59406
      257.00000       83.00000       16.01749
      259.00000       83.00000       16.36591
      261.00000       83.00000       16.64450
      263.00000       83.00000       16.85873
      265.00000       83.00000       17.01371
      267.00000       83.00000       17.11375
      269.00000       83.00000       17.16197
      271.00000       83.00000       17.15997
      273.00000       83.00000       17.10778
      275.00000       83.00000       17.00375
      277.00000       83.00000       16.84479
      279.00000       83.00000       16.62658
      281.00000       83.00000       16.34398
      283.00000       83.00000       15.99151
      285.00000       83.00000       15.56397
      287.00000       83.00000       15.05698
      289.00000       83.00000       14.46764
      291.00000       83.00000       13.79509
      293.00000       83.00000       13.04091
      295.00000       83.00000       12.20954
      297.00000       83.00000       11.30834
      299.00000       83.00000       10.34756
      301.00000       83.00000        9.34012
      303.00000       83.00000        8.30110
      305.00000       83.00000        7.24714
      307.00000       83.00000        6.19574
      309.00000       83.00000        5.16438
      311.00000       83.00000        4.16980
      313.00000       83.00000        3.22713
      315.00000       83.00000        2.34932
      317.00000       83.00000        1.54659
      319.00000       83.00000        0.82613
      321.00000       83.00000        0.19201
      323.00000       83.00000       -0.35472
      325.00000       83.00000       -0.81575
      327.00000       83.00000       -1.19506
      329.00000       83.00000       -1.49839
      331.00000       83.00000       -1.73273
      333.00000       83.00000       -1.90579
      335.00000       83.00000       -2.02558
      337.00000       83.00000       -2.10008
      339.00000       83.00000       -2.13694
      341.00000       83.00000       -2.14337
      343.00000       83.00000       -2.12599
      345.00000       83.00000       -2.09071
      347.00000       83.00000       -2.04270
