 # done by Task#3 of TABOO on 2017.02.06 time=16.02.48
# Time BP (kyrs) =     0.0000
# Load Mass (kg) =    0.000000E+00
# -----------------------------------------------
#      lon (deg)      lat (deg)     d_lat (mm/yr)
# -----------------------------------------------
      353.00000       83.00000       -0.00165
      355.00000       83.00000        0.00279
      357.00000       83.00000        0.00706
      359.00000       83.00000        0.01119
        1.00000       81.00000        0.01446
        3.00000       81.00000        0.01687
        5.00000       81.00000        0.01936
        7.00000       81.00000        0.02192
        9.00000       81.00000        0.02446
       11.00000       81.00000        0.02683
       13.00000       81.00000        0.02884
       15.00000       81.00000        0.03032
       17.00000       81.00000        0.03114
       19.00000       81.00000        0.03125
       21.00000       81.00000        0.03069
       23.00000       81.00000        0.02960
       25.00000       81.00000        0.02817
       27.00000       81.00000        0.02663
       29.00000       81.00000        0.02519
       31.00000       81.00000        0.02401
       33.00000       81.00000        0.02322
       35.00000       81.00000        0.02285
       37.00000       81.00000        0.02291
       39.00000       81.00000        0.02335
       41.00000       81.00000        0.02410
       43.00000       81.00000        0.02509
       45.00000       81.00000        0.02624
       47.00000       81.00000        0.02749
       49.00000       81.00000        0.02879
       51.00000       81.00000        0.03008
       53.00000       81.00000        0.03134
       55.00000       81.00000        0.03252
       57.00000       81.00000        0.03359
       59.00000       81.00000        0.03454
       61.00000       81.00000        0.03534
       63.00000       81.00000        0.03597
       65.00000       81.00000        0.03645
       67.00000       81.00000        0.03676
       69.00000       81.00000        0.03695
       71.00000       81.00000        0.03705
       73.00000       81.00000        0.03709
       75.00000       81.00000        0.03715
       77.00000       81.00000        0.03728
       79.00000       81.00000        0.03754
       81.00000       81.00000        0.03799
       83.00000       81.00000        0.03868
       85.00000       81.00000        0.03965
       87.00000       81.00000        0.04088
       89.00000       81.00000        0.04233
       91.00000       81.00000        0.04392
       93.00000       81.00000        0.04553
       95.00000       81.00000        0.04703
       97.00000       81.00000        0.04829
       99.00000       81.00000        0.04922
      101.00000       81.00000        0.04979
      103.00000       81.00000        0.05001
      105.00000       81.00000        0.04996
      107.00000       81.00000        0.04975
      109.00000       81.00000        0.04951
      111.00000       81.00000        0.04936
      113.00000       81.00000        0.04940
      115.00000       81.00000        0.04969
      117.00000       81.00000        0.05024
      119.00000       81.00000        0.05105
      121.00000       81.00000        0.05209
      123.00000       81.00000        0.05333
      125.00000       81.00000        0.05472
      127.00000       81.00000        0.05621
      129.00000       81.00000        0.05776
      131.00000       81.00000        0.05935
      133.00000       81.00000        0.06093
      135.00000       81.00000        0.06247
      137.00000       81.00000        0.06394
      139.00000       81.00000        0.06532
      141.00000       81.00000        0.06659
      143.00000       81.00000        0.06771
      145.00000       81.00000        0.06870
      147.00000       81.00000        0.06955
      149.00000       81.00000        0.07026
      151.00000       81.00000        0.07084
      153.00000       81.00000        0.07131
      155.00000       81.00000        0.07167
      157.00000       81.00000        0.07191
      159.00000       81.00000        0.07203
      161.00000       81.00000        0.07198
      163.00000       81.00000        0.07172
      165.00000       81.00000        0.07121
      167.00000       81.00000        0.07039
      169.00000       81.00000        0.06926
      171.00000       81.00000        0.06779
      173.00000       81.00000        0.06599
      175.00000       81.00000        0.06386
      177.00000       81.00000        0.06140
      179.00000       81.00000        0.05858
      181.00000       81.00000        0.05533
      183.00000       81.00000        0.05160
      185.00000       81.00000        0.04732
      187.00000       81.00000        0.04243
      189.00000       81.00000        0.03689
      191.00000       81.00000        0.03066
