 # done by Task#3 of TABOO on 2017.02.06 time=16.02.48
# Time BP (kyrs) =     0.0000
# Load Mass (kg) =    0.000000E+00
# -----------------------------------------------
#      lon (deg)      lat (deg)     d_lon (mm/yr)
# -----------------------------------------------
       13.00000       81.00000       -0.14198
       15.00000       81.00000       -0.13455
       17.00000       81.00000       -0.12666
       19.00000       81.00000       -0.11867
       21.00000       81.00000       -0.11097
       23.00000       81.00000       -0.10395
       25.00000       81.00000       -0.09792
       27.00000       81.00000       -0.09302
       29.00000       81.00000       -0.08927
       31.00000       81.00000       -0.08651
       33.00000       81.00000       -0.08454
       35.00000       81.00000       -0.08307
       37.00000       81.00000       -0.08184
       39.00000       81.00000       -0.08062
       41.00000       81.00000       -0.07926
       43.00000       81.00000       -0.07766
       45.00000       81.00000       -0.07577
       47.00000       81.00000       -0.07359
       49.00000       81.00000       -0.07116
       51.00000       81.00000       -0.06849
       53.00000       81.00000       -0.06565
       55.00000       81.00000       -0.06266
       57.00000       81.00000       -0.05958
       59.00000       81.00000       -0.05645
       61.00000       81.00000       -0.05332
       63.00000       81.00000       -0.05023
       65.00000       81.00000       -0.04723
       67.00000       81.00000       -0.04437
       69.00000       81.00000       -0.04171
       71.00000       81.00000       -0.03929
       73.00000       81.00000       -0.03713
       75.00000       81.00000       -0.03525
       77.00000       81.00000       -0.03364
       79.00000       81.00000       -0.03226
       81.00000       81.00000       -0.03104
       83.00000       81.00000       -0.02987
       85.00000       81.00000       -0.02860
       87.00000       81.00000       -0.02707
       89.00000       81.00000       -0.02512
       91.00000       81.00000       -0.02263
       93.00000       81.00000       -0.01958
       95.00000       81.00000       -0.01600
       97.00000       81.00000       -0.01206
       99.00000       81.00000       -0.00797
      101.00000       81.00000       -0.00398
      103.00000       81.00000       -0.00035
      105.00000       81.00000        0.00278
      107.00000       81.00000        0.00532
      109.00000       81.00000        0.00729
      111.00000       81.00000        0.00882
      113.00000       81.00000        0.01008
      115.00000       81.00000        0.01125
      117.00000       81.00000        0.01251
      119.00000       81.00000        0.01398
      121.00000       81.00000        0.01576
      123.00000       81.00000        0.01789
      125.00000       81.00000        0.02039
      127.00000       81.00000        0.02324
      129.00000       81.00000        0.02644
      131.00000       81.00000        0.02996
      133.00000       81.00000        0.03378
      135.00000       81.00000        0.03787
      137.00000       81.00000        0.04220
      139.00000       81.00000        0.04675
      141.00000       81.00000        0.05147
      143.00000       81.00000        0.05634
      145.00000       81.00000        0.06134
      147.00000       81.00000        0.06648
      149.00000       81.00000        0.07177
      151.00000       81.00000        0.07723
      153.00000       81.00000        0.08292
      155.00000       81.00000        0.08885
      157.00000       81.00000        0.09508
      159.00000       81.00000        0.10162
      161.00000       81.00000        0.10847
      163.00000       81.00000        0.11560
      165.00000       81.00000        0.12300
      167.00000       81.00000        0.13062
      169.00000       81.00000        0.13847
      171.00000       81.00000        0.14656
      173.00000       81.00000        0.15495
      175.00000       81.00000        0.16373
      177.00000       81.00000        0.17297
      179.00000       81.00000        0.18273
      181.00000       81.00000        0.19300
