 # done by Task#3 of TABOO on 2017.02.06 time=16.02.48
# Time BP (kyrs) =     0.0000
# Load Mass (kg) =    0.000000E+00
# -----------------------------------------------
#      lon (deg)      lat (deg)     d_rad (mm/yr)
# -----------------------------------------------
      299.00000       83.00000       -1.76268
      301.00000       83.00000       -1.65847
      303.00000       83.00000       -1.54907
      305.00000       83.00000       -1.43590
      307.00000       83.00000       -1.32055
      309.00000       83.00000       -1.20472
      311.00000       83.00000       -1.09017
      313.00000       83.00000       -0.97858
      315.00000       83.00000       -0.87151
      317.00000       83.00000       -0.77027
      319.00000       83.00000       -0.67591
      321.00000       83.00000       -0.58914
      323.00000       83.00000       -0.51031
      325.00000       83.00000       -0.43949
      327.00000       83.00000       -0.37648
      329.00000       83.00000       -0.32090
      331.00000       83.00000       -0.27224
      333.00000       83.00000       -0.22992
      335.00000       83.00000       -0.19334
      337.00000       83.00000       -0.16188
      339.00000       83.00000       -0.13492
      341.00000       83.00000       -0.11183
      343.00000       83.00000       -0.09194
      345.00000       83.00000       -0.07461
      347.00000       83.00000       -0.05922
      349.00000       83.00000       -0.04523
      351.00000       83.00000       -0.03219
      353.00000       83.00000       -0.01977
      355.00000       83.00000       -0.00778
      357.00000       83.00000        0.00388
      359.00000       83.00000        0.01520
        1.00000       81.00000        0.01032
        3.00000       81.00000        0.02195
        5.00000       81.00000        0.03469
        7.00000       81.00000        0.04829
        9.00000       81.00000        0.06229
       11.00000       81.00000        0.07603
       13.00000       81.00000        0.08868
       15.00000       81.00000        0.09939
       17.00000       81.00000        0.10741
       19.00000       81.00000        0.11223
       21.00000       81.00000        0.11373
       23.00000       81.00000        0.11215
       25.00000       81.00000        0.10805
       27.00000       81.00000        0.10222
       29.00000       81.00000        0.09554
       31.00000       81.00000        0.08884
       33.00000       81.00000        0.08278
       35.00000       81.00000        0.07781
       37.00000       81.00000        0.07417
       39.00000       81.00000        0.07189
       41.00000       81.00000        0.07084
       43.00000       81.00000        0.07082
       45.00000       81.00000        0.07157
       47.00000       81.00000        0.07283
       49.00000       81.00000        0.07437
       51.00000       81.00000        0.07598
       53.00000       81.00000        0.07749
       55.00000       81.00000        0.07878
       57.00000       81.00000        0.07974
       59.00000       81.00000        0.08030
       61.00000       81.00000        0.08043
       63.00000       81.00000        0.08012
       65.00000       81.00000        0.07941
       67.00000       81.00000        0.07837
       69.00000       81.00000        0.07711
       71.00000       81.00000        0.07577
       73.00000       81.00000        0.07454
       75.00000       81.00000        0.07360
       77.00000       81.00000        0.07315
       79.00000       81.00000        0.07338
       81.00000       81.00000        0.07443
       83.00000       81.00000        0.07637
       85.00000       81.00000        0.07918
       87.00000       81.00000        0.08268
       89.00000       81.00000        0.08657
       91.00000       81.00000        0.09042
       93.00000       81.00000        0.09373
       95.00000       81.00000        0.09600
       97.00000       81.00000        0.09686
       99.00000       81.00000        0.09608
      101.00000       81.00000        0.09368
      103.00000       81.00000        0.08990
      105.00000       81.00000        0.08517
      107.00000       81.00000        0.08003
      109.00000       81.00000        0.07504
      111.00000       81.00000        0.07071
      113.00000       81.00000        0.06738
      115.00000       81.00000        0.06528
      117.00000       81.00000        0.06446
      119.00000       81.00000        0.06485
      121.00000       81.00000        0.06631
      123.00000       81.00000        0.06867
      125.00000       81.00000        0.07174
      127.00000       81.00000        0.07533
      129.00000       81.00000        0.07929
      131.00000       81.00000        0.08347
      133.00000       81.00000        0.08775
      135.00000       81.00000        0.09202
      137.00000       81.00000        0.09619
      139.00000       81.00000        0.10021
      141.00000       81.00000        0.10405
      143.00000       81.00000        0.10772
      145.00000       81.00000        0.11125
      147.00000       81.00000        0.11469
      149.00000       81.00000        0.11806
      151.00000       81.00000        0.12138
      153.00000       81.00000        0.12465
      155.00000       81.00000        0.12780
      157.00000       81.00000        0.13074
      159.00000       81.00000        0.13335
      161.00000       81.00000        0.13552
      163.00000       81.00000        0.13713
      165.00000       81.00000        0.13810
      167.00000       81.00000        0.13840
      169.00000       81.00000        0.13799
      171.00000       81.00000        0.13687
      173.00000       81.00000        0.13495
      175.00000       81.00000        0.13208
      177.00000       81.00000        0.12802
      179.00000       81.00000        0.12246
      181.00000       81.00000        0.11505
      183.00000       81.00000        0.10547
      185.00000       81.00000        0.09346
      187.00000       81.00000        0.07881
      189.00000       81.00000        0.06130
      191.00000       81.00000        0.04065
      193.00000       81.00000        0.01642
      195.00000       81.00000       -0.01203
      197.00000       81.00000       -0.04550
