 # done by Task#3 of TABOO on 2017.02.06 time=15.50.26
# Time BP (kyrs) =     0.0000
# Load Mass (kg) =    0.000000E+00
# -----------------------------------------------
#      lon (deg)      lat (deg)     d_geo (mm/yr)
# -----------------------------------------------
       71.00000       83.00000        0.02101
       73.00000       83.00000        0.02119
       75.00000       83.00000        0.02136
       77.00000       83.00000        0.02152
       79.00000       83.00000        0.02167
       81.00000       83.00000        0.02180
       83.00000       83.00000        0.02193
       85.00000       83.00000        0.02205
       87.00000       83.00000        0.02216
       89.00000       83.00000        0.02226
       91.00000       83.00000        0.02235
       93.00000       83.00000        0.02244
       95.00000       83.00000        0.02251
       97.00000       83.00000        0.02258
       99.00000       83.00000        0.02265
      101.00000       83.00000        0.02270
      103.00000       83.00000        0.02275
      105.00000       83.00000        0.02279
      107.00000       83.00000        0.02282
      109.00000       83.00000        0.02285
      111.00000       83.00000        0.02286
      113.00000       83.00000        0.02287
      115.00000       83.00000        0.02287
      117.00000       83.00000        0.02287
      119.00000       83.00000        0.02285
      121.00000       83.00000        0.02283
      123.00000       83.00000        0.02279
      125.00000       83.00000        0.02274
      127.00000       83.00000        0.02268
      129.00000       83.00000        0.02261
      131.00000       83.00000        0.02252
      133.00000       83.00000        0.02242
      135.00000       83.00000        0.02230
      137.00000       83.00000        0.02216
      139.00000       83.00000        0.02200
      141.00000       83.00000        0.02181
      143.00000       83.00000        0.02161
      145.00000       83.00000        0.02137
      147.00000       83.00000        0.02111
      149.00000       83.00000        0.02081
      151.00000       83.00000        0.02048
      153.00000       83.00000        0.02011
      155.00000       83.00000        0.01969
      157.00000       83.00000        0.01924
      159.00000       83.00000        0.01873
      161.00000       83.00000        0.01817
      163.00000       83.00000        0.01756
      165.00000       83.00000        0.01689
      167.00000       83.00000        0.01615
      169.00000       83.00000        0.01535
      171.00000       83.00000        0.01447
      173.00000       83.00000        0.01352
      175.00000       83.00000        0.01248
      177.00000       83.00000        0.01135
      179.00000       83.00000        0.01013
      181.00000       83.00000        0.00881
      183.00000       83.00000        0.00739
      185.00000       83.00000        0.00587
      187.00000       83.00000        0.00423
      189.00000       83.00000        0.00248
      191.00000       83.00000        0.00062
      193.00000       83.00000       -0.00136
      195.00000       83.00000       -0.00347
      197.00000       83.00000       -0.00569
      199.00000       83.00000       -0.00804
      201.00000       83.00000       -0.01050
      203.00000       83.00000       -0.01309
      205.00000       83.00000       -0.01578
      207.00000       83.00000       -0.01858
      209.00000       83.00000       -0.02146
      211.00000       83.00000       -0.02443
      213.00000       83.00000       -0.02746
      215.00000       83.00000       -0.03054
      217.00000       83.00000       -0.03364
      219.00000       83.00000       -0.03674
      221.00000       83.00000       -0.03981
      223.00000       83.00000       -0.04283
      225.00000       83.00000       -0.04576
      227.00000       83.00000       -0.04856
      229.00000       83.00000       -0.05121
      231.00000       83.00000       -0.05366
      233.00000       83.00000       -0.05589
      235.00000       83.00000       -0.05787
      237.00000       83.00000       -0.05958
      239.00000       83.00000       -0.06100
      241.00000       83.00000       -0.06212
      243.00000       83.00000       -0.06294
      245.00000       83.00000       -0.06347
      247.00000       83.00000       -0.06374
      249.00000       83.00000       -0.06377
      251.00000       83.00000       -0.06358
      253.00000       83.00000       -0.06324
      255.00000       83.00000       -0.06276
      257.00000       83.00000       -0.06222
      259.00000       83.00000       -0.06164
      261.00000       83.00000       -0.06108
      263.00000       83.00000       -0.06058
      265.00000       83.00000       -0.06017
      267.00000       83.00000       -0.05988
      269.00000       83.00000       -0.05972
      271.00000       83.00000       -0.05972
      273.00000       83.00000       -0.05986
      275.00000       83.00000       -0.06014
      277.00000       83.00000       -0.06055
      279.00000       83.00000       -0.06104
      281.00000       83.00000       -0.06160
      283.00000       83.00000       -0.06217
      285.00000       83.00000       -0.06272
      287.00000       83.00000       -0.06319
      289.00000       83.00000       -0.06355
      291.00000       83.00000       -0.06374
      293.00000       83.00000       -0.06373
      295.00000       83.00000       -0.06349
      297.00000       83.00000       -0.06298
      299.00000       83.00000       -0.06220
      301.00000       83.00000       -0.06112
      303.00000       83.00000       -0.05975
      305.00000       83.00000       -0.05810
      307.00000       83.00000       -0.05618
      309.00000       83.00000       -0.05402
      311.00000       83.00000       -0.05165
      313.00000       83.00000       -0.04909
      315.00000       83.00000       -0.04638
      317.00000       83.00000       -0.04357
      319.00000       83.00000       -0.04067
      321.00000       83.00000       -0.03772
      323.00000       83.00000       -0.03476
      325.00000       83.00000       -0.03181
      327.00000       83.00000       -0.02889
      329.00000       83.00000       -0.02603
      331.00000       83.00000       -0.02324
      333.00000       83.00000       -0.02054
      335.00000       83.00000       -0.01794
      337.00000       83.00000       -0.01544
      339.00000       83.00000       -0.01307
      341.00000       83.00000       -0.01082
      343.00000       83.00000       -0.00869
      345.00000       83.00000       -0.00669
      347.00000       83.00000       -0.00481
      349.00000       83.00000       -0.00305
      351.00000       83.00000       -0.00141
      353.00000       83.00000        0.00011
      355.00000       83.00000        0.00153
      357.00000       83.00000        0.00285
      359.00000       83.00000        0.00406
        1.00000       81.00000        0.00428
        3.00000       81.00000        0.00516
        5.00000       81.00000        0.00594
        7.00000       81.00000        0.00664
        9.00000       81.00000        0.00726
       11.00000       81.00000        0.00782
       13.00000       81.00000        0.00834
       15.00000       81.00000        0.00881
