 # done by Task#3 of TABOO on 2017.02.06 time=15.50.26
# Time BP (kyrs) =     0.0000
# Load Mass (kg) =    0.000000E+00
# --------------------------------------------
#      lon (deg)      lat (deg)      geoid (m)
# --------------------------------------------
       43.00000       81.00000       -0.09457
       45.00000       81.00000       -0.09512
       47.00000       81.00000       -0.09565
       49.00000       81.00000       -0.09613
       51.00000       81.00000       -0.09657
       53.00000       81.00000       -0.09694
       55.00000       81.00000       -0.09726
       57.00000       81.00000       -0.09752
       59.00000       81.00000       -0.09771
       61.00000       81.00000       -0.09785
       63.00000       81.00000       -0.09794
       65.00000       81.00000       -0.09799
       67.00000       81.00000       -0.09799
       69.00000       81.00000       -0.09796
       71.00000       81.00000       -0.09790
       73.00000       81.00000       -0.09781
       75.00000       81.00000       -0.09771
       77.00000       81.00000       -0.09759
       79.00000       81.00000       -0.09747
       81.00000       81.00000       -0.09735
       83.00000       81.00000       -0.09722
       85.00000       81.00000       -0.09711
       87.00000       81.00000       -0.09700
       89.00000       81.00000       -0.09690
       91.00000       81.00000       -0.09683
       93.00000       81.00000       -0.09678
       95.00000       81.00000       -0.09675
       97.00000       81.00000       -0.09675
       99.00000       81.00000       -0.09678
      101.00000       81.00000       -0.09684
      103.00000       81.00000       -0.09694
      105.00000       81.00000       -0.09708
      107.00000       81.00000       -0.09725
      109.00000       81.00000       -0.09746
      111.00000       81.00000       -0.09772
      113.00000       81.00000       -0.09802
      115.00000       81.00000       -0.09836
      117.00000       81.00000       -0.09875
      119.00000       81.00000       -0.09918
      121.00000       81.00000       -0.09965
      123.00000       81.00000       -0.10017
      125.00000       81.00000       -0.10073
      127.00000       81.00000       -0.10133
      129.00000       81.00000       -0.10197
      131.00000       81.00000       -0.10265
      133.00000       81.00000       -0.10336
      135.00000       81.00000       -0.10410
      137.00000       81.00000       -0.10487
      139.00000       81.00000       -0.10567
      141.00000       81.00000       -0.10648
      143.00000       81.00000       -0.10731
      145.00000       81.00000       -0.10815
      147.00000       81.00000       -0.10899
      149.00000       81.00000       -0.10982
      151.00000       81.00000       -0.11064
      153.00000       81.00000       -0.11144
      155.00000       81.00000       -0.11220
      157.00000       81.00000       -0.11292
